Nome,"Tipo Variação",Variante,Categoria,Marca,Referência,"Código de Barras",Descrição,"Descrição na Fatura",PVP,"Preço Fornecedor",Unidade,"Controlar Stock","IVA - Taxa","IVA - Isenção (Código)","IVA - Isenção (Norma)","Tipo de Produto","Classe de Bem","Loja principal","Stock - Loja principal","Margem de Lucro (%)- Normal",Imagem
"Hot de Salmão (24 pçs) + (C)",,,"Take away Sushi in Sushi",,VHOT2-24040230,,,Não,"12,5000","0,0000",Uni,Sim,13,,,P,,S,"-26,0000",100,https://www.vendus.pt/foto/5fe88e8de54d9c6df6c312b4282856b1.png
"Molho teriyaki",,,"Take away Sushi in Sushi",,VMOL3-24040246,,,Não,"1,0000","0,0000",Uni,Sim,13,,,P,,S,"-186,0000",100,https://www.vendus.pt/foto/53b9309fa9439bf98867b69f07321caf.jpg
"Molho de soja",,,"Take away Sushi in Sushi",,VMOL4-24040235,,,Não,"0,5000","0,0000",Uni,Sim,13,,,P,,S,"-12,0000",100,https://www.vendus.pt/foto/d9d6addef7bdef79420ce4b1144449dd.jpg
Wasabi,,,"Take away Sushi in Sushi",,VWAS5-24040273,,,Não,"1,0000","0,0000",Uni,Sim,13,,,P,,S,"-9,0000",100,https://www.vendus.pt/foto/c8687cccd4101cbe3dfe99d455eea26a.jpg
"Compal Laranja",,,"Take away Sushi in Sushi",,VCOM6-24040268,,,Não,"2,5000","0,0000",Uni,Sim,23,,,P,,S,"-40,0000",100,https://www.vendus.pt/foto/166451879a1fc075d033fc1d3211d92b.jpg
"Sumol Laranja",,,"Take away Sushi in Sushi",,VSUM8-24040228,,,Não,"2,5000","2,5000",Uni,Sim,23,,,P,,S,"-40,0000",-18.70,https://www.vendus.pt/foto/3064b4c735b1996f384de3e29242e1d2.jpg
"Coca Cola",,,"Take away Sushi in Sushi",,VCOC9-2404028,,,Não,"2,5000","0,0000",Uni,Sim,23,,,P,,S,"-1065,8573",100,https://www.vendus.pt/foto/f4dc152f23a9e2d5da5d3c6236d0cacb.png
"Coca Cola Zero",,,"Take away Sushi in Sushi",,VCOC10-24040271,,,Não,"2,5000","0,0000",Uni,Sim,23,,,P,,S,"-1675,5716",100,https://www.vendus.pt/foto/f7e76187c0313cd61023058bdac850a5.png
"Água 50ml",,,"Take away Sushi in Sushi",,VAGU11-24040259,,,Não,"1,5000","0,0000",Uni,Sim,23,,,P,,S,"-1424,8574",100,https://www.vendus.pt/foto/e01d451c3c9f5a08de1f72bac31d169c.png
"Água das Pedras de Limão",,,"Take away Sushi in Sushi",,VAGU12-24040224,,,Não,"2,5000","0,0000",Uni,Sim,23,,,P,,S,"-333,9999",100,
